name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
rajasthan,2026-01-21,75.1,51.7,62.9,75.1,51.7,62.9,47.4,58.8,0,0,0,,0,0,5.8,9.2,115.8,1018.2,0,3.2,185,16,7,10,2026-01-21T07:16:30,2026-01-21T17:59:55,0.09,Clear,Clear conditions throughout the day.,clear-day,"VIJP,remote"
rajasthan,2026-01-22,76.4,52.6,63.8,76.4,52.6,63.8,40.8,44.5,0,0,0,,0,0,26.4,12.1,135.6,1015.1,4.8,15,188.6,16.2,7,10,2026-01-22T07:16:15,2026-01-22T18:00:43,0.12,Clear,Clear conditions throughout the day.,clear-day,
rajasthan,2026-01-23,72.6,48.6,62,72.6,44.3,61.7,36,39.7,0.024,80.6,12.5,rain,0,0,30.6,20.6,233.2,1013.6,54.4,14.8,160.8,13.9,7,10,2026-01-23T07:15:59,2026-01-23T18:01:31,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,
rajasthan,2026-01-24,64.1,41.8,51.6,64.1,36.9,49.3,9,18.1,0,0,0,,0,0,19,10.3,12.6,1021.4,72.1,15,151.7,13.1,6,10,2026-01-24T07:15:42,2026-01-24T18:02:18,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
rajasthan,2026-01-25,67.6,42.2,52.9,67.6,37.9,51.3,16.4,24,0,0,0,,0,0,11.2,8.5,358.7,1020,52.4,15,195.8,17,7,10,2026-01-25T07:15:23,2026-01-25T18:03:06,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
rajasthan,2026-01-26,70.8,45.4,56.3,70.8,42.6,55.3,21.8,26.9,0,0,0,,0,0,7.2,7.2,68.6,1018.3,23.8,15,221.7,19.2,7,10,2026-01-26T07:15:02,2026-01-26T18:03:54,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
rajasthan,2026-01-27,73.3,53.1,61.6,73.3,53.1,61.6,35.7,39.5,0.04,12.9,16.67,rain,0,0,15.4,12.8,124.4,1015.8,2.9,14.8,186.4,15.9,7,10,2026-01-27T07:14:40,2026-01-27T18:04:41,0.3,Clear,Clear conditions throughout the day.,clear-day,
rajasthan,2026-01-28,70.1,50.3,58.5,70.1,50.3,58.5,41.2,56,0,19.4,0,,0,0,15,11.6,325.7,1016.1,0.2,15,195.5,16.8,7,10,2026-01-28T07:14:17,2026-01-28T18:05:29,0.33,Clear,Clear conditions throughout the day.,clear-day,
rajasthan,2026-01-29,69.5,49.2,57.8,69.5,46.7,57.6,35.9,45.2,0,3.2,0,,0,0,9.4,7.6,22,1017.1,82.7,15,170.5,14.7,6,10,2026-01-29T07:13:52,2026-01-29T18:06:16,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
rajasthan,2026-01-30,72.4,51.9,60.3,72.4,51.9,60.3,38.3,46,0,0,0,,0,0,7.8,6.7,358.2,1016.3,33.5,15,197.9,17.1,7,10,2026-01-30T07:13:26,2026-01-30T18:07:03,0.41,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
rajasthan,2026-01-31,72.6,52.2,60.5,72.6,52.2,60.5,35.2,39.9,0,3.2,0,,0,0,11.9,8.3,13.5,1018.5,0,15,199.8,17.1,7,10,2026-01-31T07:12:58,2026-01-31T18:07:50,0.44,Clear,Clear conditions throughout the day.,clear-day,
rajasthan,2026-02-01,73.5,51.2,60.2,73.5,51.2,60.2,31.9,35.5,0,3.2,0,,0,0,8.9,7.4,5.5,1018.4,13.5,15,202.3,17.4,7,10,2026-02-01T07:12:29,2026-02-01T18:08:36,0.48,Clear,Clear conditions throughout the day.,clear-day,
rajasthan,2026-02-02,76.4,50.6,61.8,76.4,50.6,61.8,28,28.7,0,0,0,,0,0,7.2,7.2,7.9,1017.9,15.8,15,206.1,17.7,7,10,2026-02-02T07:11:58,2026-02-02T18:09:22,0.5,Clear,Clear conditions throughout the day.,clear-day,
rajasthan,2026-02-03,77.6,53.3,63.3,77.6,53.3,63.3,29.9,29.4,0,0,0,,0,0,6.9,6.9,48.3,1018,0.4,15,206.6,17.7,7,10,2026-02-03T07:11:27,2026-02-03T18:10:08,0.54,Clear,Clear conditions throughout the day.,clear-day,
rajasthan,2026-02-04,78.9,55.7,66,78.9,55.7,66,37.3,35.4,0,0,0,,0,0,14.8,10.3,127.2,1015,5.8,15,202.3,17.4,7,10,2026-02-04T07:10:53,2026-02-04T18:10:53,0.58,Clear,Clear conditions throughout the day.,clear-day,
rajasthan,2026-02-05,75.6,54.1,64.5,0,0,80.5,42.9,49.5,0,0,0,,,,12.8,8.1,167,1016.1,26.6,2.1,,,,,2026-02-05T07:10:19,2026-02-05T18:11:39,0.61,Partially cloudy,,partly-cloudy-day,
