name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
rajasthan,2017-09-15,95.6,78.6,86.2,101.4,78.6,91.3,72.7,66.7,0,0,0,,0,0,12.5,5.8,133.5,1007,55.2,2.1,238.9,20.5,8,,2017-09-15T06:12:06,2017-09-15T18:31:29,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,remote,42348099999"
rajasthan,2017-09-16,93.2,80.4,85.7,98.2,83.9,89.5,68.7,58.5,0,0,0,,0,0,14.5,5.8,19.8,1006.6,64.3,1.8,167.8,14.5,6,,2017-09-16T06:12:32,2017-09-16T18:30:21,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,42348099999"
rajasthan,2017-09-17,95,78.8,86.6,94.5,78.8,88,64.8,50.7,0,0,0,,0,0,16.1,4.7,8.1,1006.1,58,2.1,220.3,19.3,8,,2017-09-17T06:12:58,2017-09-17T18:29:12,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,remote,42348099999"
rajasthan,2017-09-18,98.6,75.5,87.2,96,75.5,86.6,59.2,42.3,0,0,0,,0,0,15,4.5,33,1005.5,41.7,2,258.7,22.3,9,,2017-09-18T06:13:24,2017-09-18T18:28:03,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,remote,42348099999"
rajasthan,2017-09-19,98.9,73.4,87.4,95.6,73.4,86.5,57.1,38.6,0,0,0,,0,0,13,6.9,54.9,1004.9,28,2.3,258.8,22.3,9,,2017-09-19T06:13:50,2017-09-19T18:26:55,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,42348099999"
rajasthan,2017-09-20,98.6,77,88.5,98.4,77,88.8,59.4,41,0,0,0,,0,0,15.4,5.1,52.8,1004.4,18.1,2.2,256.5,22.2,9,,2017-09-20T06:14:16,2017-09-20T18:25:46,0,Clear,Clear conditions throughout the day.,clear-day,"VIJP,remote,42348099999"
rajasthan,2017-09-21,95.6,78.8,87,107.9,78.8,92.5,69.3,56.3,0,0,0,,0,0,16.8,8.1,101.9,1003.3,46.6,2,204.6,17.7,8,,2017-09-21T06:14:42,2017-09-21T18:24:37,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,remote,42348099999"
rajasthan,2017-09-22,93.8,78.9,84.9,100.9,78.9,90.1,71.9,66.4,0,0,0,,0,0,15.4,6.4,105,1004,69.1,2,144.6,12.4,6,,2017-09-22T06:15:08,2017-09-22T18:23:29,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,remote,42348099999"
rajasthan,2017-09-23,98.1,77,86.1,98.6,77,87.5,65.3,53.3,0,0,0,,0,0,26.6,13.9,308.1,1006.3,49.6,2.2,252,21.7,9,,2017-09-23T06:15:34,2017-09-23T18:22:20,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,remote,42348099999"
rajasthan,2017-09-24,96.8,77.1,86.6,98.3,77.1,88.3,66.4,53.8,0,0,0,,0,0,23,11.4,303.7,1008.7,19.8,2.2,226.2,19.6,8,,2017-09-24T06:16:01,2017-09-24T18:21:12,0.13,Clear,Clear conditions throughout the day.,clear-day,"VIJP,remote,42348099999"
rajasthan,2017-09-25,96.8,80.2,87.5,98.5,82.9,89.1,64.2,47.7,0,0,0,,0,0,21.9,10.3,301.7,1007.6,34.2,2.2,235.3,20.4,8,,2017-09-25T06:16:28,2017-09-25T18:20:04,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,42348099999"
rajasthan,2017-09-26,96.8,78.8,86.6,96.5,78.8,87.3,62.4,46.2,0,0,0,,0,0,18.8,9.2,298.7,1007.8,27.7,2.4,204.9,17.6,8,,2017-09-26T06:16:54,2017-09-26T18:18:56,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,remote,42348099999"
rajasthan,2017-09-27,98.6,80.6,88.9,103.2,82.5,89.3,59.6,40.2,0,0,0,,0,0,23.5,9.2,305.6,1008.5,28.7,2.2,218.8,18.8,8,,2017-09-27T06:17:21,2017-09-27T18:17:48,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,remote,42348099999"
rajasthan,2017-09-28,98.6,81.2,89.4,94.6,81.5,87.2,51.2,28.9,0,0,0,,0,0,17,8.1,304.8,1007.3,14.9,2.3,222.5,19.2,8,,2017-09-28T06:17:48,2017-09-28T18:16:40,0.25,Clear,Clear conditions throughout the day.,clear-day,"VIJP,remote,42348099999"
rajasthan,2017-09-29,100,77.3,88.7,96.3,77.3,86.7,51.4,29.3,0,0,0,,0,0,20.4,8.1,328.9,1006.8,16.5,2.4,233.7,20.2,8,,2017-09-29T06:18:16,2017-09-29T18:15:33,0.29,Clear,Clear conditions throughout the day.,clear-day,"VIJP,remote,42348099999"
rajasthan,2017-09-30,100.4,77.6,89.4,96.3,77.6,87.3,50.8,28.9,0,0,0,,0,0,16.1,8.1,327.7,1009.1,14.5,2.5,253,21.8,9,,2017-09-30T06:18:43,2017-09-30T18:14:25,0.32,Clear,Clear conditions throughout the day.,clear-day,"VIJP,42348099999"
rajasthan,2017-10-01,98.7,75.3,88.5,95.2,75.3,86.4,50.8,29.2,0,0,0,,0,0,15.9,8.1,316.1,1009,3.5,2.3,253,21.8,9,,2017-10-01T06:19:11,2017-10-01T18:13:19,0.36,Clear,Clear conditions throughout the day.,clear-day,"VIJP,remote,42348099999"
