name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
rajasthan,2014-12-20,73.5,47.3,59.3,73.5,47.3,59.3,39.3,53.5,0,0,0,,0,0,11.6,6.9,330.4,1019.5,52,1.4,165.9,14.2,6,,2014-12-20T07:10:54,2014-12-20T17:37:33,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,remote,42348099999"
rajasthan,2014-12-21,69.9,42,56.1,69.9,40.5,55.9,42.1,64,0,0,0,,0,0,10.5,5.8,126.7,1017.1,23.9,1.3,176.5,15.2,7,,2014-12-21T07:11:25,2014-12-21T17:38:02,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,remote,42348099999"
rajasthan,2014-12-22,66.3,46.3,54.2,66.3,43.4,53.1,46.5,79.3,0,0,0,,0,0,16.1,8.1,119.5,1016,19.3,0.8,175.8,15.2,7,,2014-12-22T07:11:56,2014-12-22T17:38:31,0,Clear,Clear conditions throughout the day.,clear-day,"VIJP,remote,42348099999"
rajasthan,2014-12-23,68.1,43.7,55.4,68.1,39,54.8,48.2,78.4,0,0,0,,0,0,13,9.2,104,1016.1,4.6,0.8,171.6,14.9,7,,2014-12-23T07:12:25,2014-12-23T17:39:02,0.04,Clear,Clear conditions throughout the day.,clear-day,"VIJP,remote,42348099999"
rajasthan,2014-12-24,69.9,46.3,56.8,69.9,45.2,56.4,48.4,76.3,0,0,0,,0,0,11.9,8.1,87.8,1019.3,0.3,0.6,171.6,14.9,7,,2014-12-24T07:12:53,2014-12-24T17:39:35,0.08,Clear,Clear conditions throughout the day.,fog,"VIJP,remote,42348099999"
rajasthan,2014-12-25,71.7,43.2,57.3,71.7,43.2,57.3,43.3,66.5,0,0,0,,0,0,15.9,8.1,334.1,1019.7,9,1.2,173.5,15,7,,2014-12-25T07:13:19,2014-12-25T17:40:08,0.11,Clear,Clear conditions throughout the day.,clear-day,"VIJP,remote,42348099999"
rajasthan,2014-12-26,71.7,44.7,57.7,71.7,42.1,57.5,36.1,53.4,0,0,0,,0,0,17.7,8.1,338.1,1018.5,0,1.4,178.4,15.4,7,,2014-12-26T07:13:45,2014-12-26T17:40:42,0.15,Clear,Clear conditions throughout the day.,clear-day,"VIJP,remote,42348099999"
rajasthan,2014-12-27,73.5,42.2,57.9,73.5,39.1,57.5,33.2,46.3,0,0,0,,0,0,11.4,6.9,312.7,1017.8,0,1.3,181.7,15.7,7,,2014-12-27T07:14:09,2014-12-27T17:41:17,0.18,Clear,Clear conditions throughout the day.,clear-day,"VIJP,remote,42348099999"
rajasthan,2014-12-28,71.7,46.5,58.8,71.7,46.5,58.8,32.1,41.2,0,0,0,,0,0,11,8.1,98.8,1019.5,0,1.3,180.7,15.5,7,,2014-12-28T07:14:32,2014-12-28T17:41:54,0.22,Clear,Clear conditions throughout the day.,clear-day,"VIJP,remote,42348099999"
rajasthan,2014-12-29,69.9,42.9,55.6,69.9,40.7,55.3,34.9,48.5,0,0,0,,0,0,12.5,6.9,76.7,1017.5,0,1,181.3,15.8,7,,2014-12-29T07:14:54,2014-12-29T17:42:31,0.25,Clear,Clear conditions throughout the day.,clear-day,"VIJP,remote,42348099999"
rajasthan,2014-12-30,66.3,42.9,55.4,66.3,42.9,55.3,41.7,62.8,0,0,0,,0,0,14.3,10.3,84.8,1014.4,0.2,1,179,15.4,7,,2014-12-30T07:15:14,2014-12-30T17:43:09,0.29,Clear,Clear conditions throughout the day.,clear-day,"VIJP,remote,42348099999"
rajasthan,2014-12-31,64.5,44.6,52,64.5,40.2,50.8,44.7,78.1,0,0,0,,0,0,15.4,9.2,89.3,1015.4,17.2,0.8,175.6,15.1,7,,2014-12-31T07:15:33,2014-12-31T17:43:48,0.33,Clear,Clear conditions throughout the day.,clear-day,"VIJP,remote,42348099999"
rajasthan,2015-01-01,68.1,51.3,60.2,68.1,51.3,60.2,51,72.7,0.004,100,4.17,rain,0,0,22.4,12.8,81,1016.8,64.4,0.9,129.4,11.1,5,,2015-01-01T07:15:51,2015-01-01T17:44:28,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VIJP,remote,42348099999"
rajasthan,2015-01-02,62.7,55.5,58.7,62.7,55.5,58.7,55.4,89.5,0.079,100,4.17,rain,0,0,21.5,12.8,76.8,1017.8,86,0.8,91.7,7.9,5,,2015-01-02T07:16:07,2015-01-02T17:45:08,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"VIJP,remote,42348099999"
rajasthan,2015-01-03,64.5,52.6,59.1,64.5,52.6,59.1,57.4,94.6,0,0,0,,0,0,10.1,4.7,58.3,1017.8,81.4,0.8,92.9,7.9,4,,2015-01-03T07:16:22,2015-01-03T17:45:50,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,remote,42348099999"
rajasthan,2015-01-04,71.7,47.4,58,71.7,46.6,58,49.1,77,0,0,0,,0,0,13.9,9.2,22.9,1020,40.6,1,164.5,14.3,7,,2015-01-04T07:16:35,2015-01-04T17:46:32,0.47,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"VIJP,remote,42348099999"
rajasthan,2015-01-05,75.2,48.2,61.1,75.2,48.2,61.1,47.4,66,0,0,0,,0,0,19.2,10.3,321,1018.1,0.2,1.3,181.3,15.5,7,,2015-01-05T07:16:47,2015-01-05T17:47:15,0.5,Clear,Clear conditions throughout the day.,clear-day,"VIJP,remote,42348099999"
rajasthan,2015-01-06,75.3,49.7,61.4,75.3,48.1,61.3,46.1,62.2,0,0,0,,0,0,19.5,10.3,276.8,1016,0,1.1,178.8,15.4,7,,2015-01-06T07:16:57,2015-01-06T17:47:58,0.53,Clear,Clear conditions throughout the day.,clear-day,"VIJP,remote,42348099999"
rajasthan,2015-01-07,73.5,49.9,60.3,73.5,48.3,60.2,48.3,69.1,0,0,0,,0,0,15.2,8.1,338,1015.5,0,1,180.2,15.4,7,,2015-01-07T07:17:06,2015-01-07T17:48:42,0.57,Clear,Clear conditions throughout the day.,clear-day,"VIJP,remote,42348099999"
rajasthan,2015-01-08,73.5,45.6,57.3,73.5,43.8,57.1,45.2,69.4,0,0,0,,0,0,9.4,7.5,110.1,1017.8,2.5,1.2,183.5,15.8,7,,2015-01-08T07:17:14,2015-01-08T17:49:27,0.6,Clear,Clear conditions throughout the day.,clear-day,"VIJP,remote,42348099999"
rajasthan,2015-01-09,75.3,46.1,59.1,75.3,44.4,58.9,44.9,66.5,0,0,0,,0,0,12.3,8.1,172.2,1019.4,23,1,185.2,16,7,,2015-01-09T07:17:20,2015-01-09T17:50:12,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,remote,42348099999"
rajasthan,2015-01-10,77.1,48.1,62.2,77.1,48.1,62.2,45.2,60.9,0,0,0,,0,0,16.1,8.1,293.3,1018.9,37.1,1.4,184.8,16,7,,2015-01-10T07:17:24,2015-01-10T17:50:57,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,42348099999"
rajasthan,2015-01-11,77.1,50.1,64,77.1,50.1,64,39.5,46.1,0,0,0,,0,0,15.7,8.1,335.1,1018.5,28.8,1.7,188.5,16.1,7,,2015-01-11T07:17:27,2015-01-11T17:51:43,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,remote,42348099999"
rajasthan,2015-01-12,69.9,44.7,56.3,69.9,44.7,56.1,48.8,77.5,0,0,0,,0,0,11,8.1,120.2,1018.5,5,0.8,189.1,16.4,7,,2015-01-12T07:17:28,2015-01-12T17:52:29,0.73,Clear,Clear conditions throughout the day.,clear-day,"VIJP,remote,42348099999"
rajasthan,2015-01-13,71.7,44.5,57.2,71.7,40.3,56.6,47.9,74.7,0,0,0,,0,0,16.6,8.1,117,1016.7,12.3,0.9,185.6,16,7,,2015-01-13T07:17:28,2015-01-13T17:53:16,0.75,Clear,Clear conditions throughout the day.,clear-day,"VIJP,remote,42348099999"
rajasthan,2015-01-14,69.8,51.7,58.1,69.8,51.7,58.1,50.9,78.5,0.004,100,4.17,rain,0,0,20.4,8.1,87.7,1015.5,57.4,0.8,159.6,13.7,6,,2015-01-14T07:17:26,2015-01-14T17:54:03,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"VIJP,remote,42348099999"
rajasthan,2015-01-15,68.1,48.3,55.9,68.1,48.3,55.8,50.1,83.3,0,0,0,,0,0,12.1,5.8,84.9,1019.4,17.8,0.7,160.9,13.8,7,,2015-01-15T07:17:23,2015-01-15T17:54:50,0.83,Clear,Clear conditions throughout the day.,clear-day,"VIJP,remote,42348099999"
rajasthan,2015-01-16,66.3,48.3,57.2,66.3,46.8,57,47.2,72.5,0,0,0,,0,0,10.3,8.1,63,1019.5,13.7,1.1,175.9,15.1,7,,2015-01-16T07:17:18,2015-01-16T17:55:37,0.86,Clear,Clear conditions throughout the day.,clear-day,"VIJP,remote,42348099999"
rajasthan,2015-01-17,69.9,45.8,58.1,69.9,43.8,58,45.7,66.8,0,0,0,,0,0,10.3,5.8,146.8,1019.8,2.8,1.5,190.4,16.4,7,,2015-01-17T07:17:12,2015-01-17T17:56:25,0.89,Clear,Clear conditions throughout the day.,clear-day,"VIJP,remote,42348099999"
rajasthan,2015-01-18,71.7,46.5,58.7,71.7,46,58.6,43.2,62.9,0,0,0,,0,0,8.3,5.8,153.4,1019,1.3,1.6,191.9,16.5,7,,2015-01-18T07:17:04,2015-01-18T17:57:13,0.93,Clear,Clear conditions throughout the day.,clear-day,"VIJP,remote,42348099999"
rajasthan,2015-01-19,71.7,48.2,59.9,71.7,48.2,59.9,43.3,57.5,0,0,0,,0,0,12.3,6.9,125.5,1018.6,1.4,1.4,192.1,16.7,7,,2015-01-19T07:16:55,2015-01-19T17:58:01,0.96,Clear,Clear conditions throughout the day.,clear-day,"VIJP,remote,42348099999"
rajasthan,2015-01-20,68.9,50.1,58.2,68.9,50.1,58.2,43.4,61.3,0,0,0,,0,0,19.2,12.1,105.3,1018.5,25.7,1.7,193.9,16.8,7,,2015-01-20T07:16:44,2015-01-20T17:58:48,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,remote,42348099999"
rajasthan,2015-01-21,68.9,51.8,58.7,68.9,51.8,58.7,51.4,77.9,0,0,0,,0,0,19.5,12.6,95.5,1019.5,50.6,0.9,155,13.4,7,,2015-01-21T07:16:31,2015-01-21T17:59:36,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,remote,42348099999"
rajasthan,2015-01-22,62.7,55.5,58.1,62.7,55.5,58.1,57.6,98.4,0.63,100,12.5,rain,0,0,17.9,12.8,93.2,1019.5,86,0.7,96.6,8.3,4,,2015-01-22T07:16:17,2015-01-22T18:00:24,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VIJP,remote,42348099999"
